data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,115.14291872659359,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,240.07390338518204,142.18650115596935,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,500.5560022623097,290.59331651223323,167.3233810615155,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,1043.663254805438,593.8993850685505,334.92074606834956,188.38779035614758,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,2176.046205635714,1213.7804262609532,670.3899086627979,369.0654704528119,213.37392891077153,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,4537.0736846956725,2480.6607991422147,1341.8775483833351,723.0262705616499,409.4508377992022,240.10323421573068,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,9459.83479902451,5069.844485264341,2685.952356363674,1416.461386325027,785.7098073334737,451.4913744464257,259.7632425668309,,,,,,,,,,,,,,,,,,,,,
03/04/2020,19723.83096326935,10361.48235730301,5376.302829827692,2774.951534459828,1507.7265555449967,848.9867363317985,478.3847471754477,272.97121664900453,,,,,,,,,,,,,,,,,,,,
04/04/2020,41124.34478324496,21176.254410317244,10761.40909556015,5436.333170069205,2893.2302296320504,1596.4390888996857,881.0021158834236,492.2214763398167,278.8794293221914,,,,,,,,,,,,,,,,,,,
05/04/2020,85744.58668808619,43278.91853566822,21540.439478130425,10650.174595480861,5551.922615457911,3001.952392776623,1622.469639288919,887.5733666882651,492.28367649364617,280.75578334706097,,,,,,,,,,,,,,,,,,
06/04/2020,178778.14674159043,88451.18467713695,43116.15038428646,20864.47157777528,10653.782202446113,5644.886943170781,2987.969816366073,1600.4715745285248,868.9892213674891,485.2496204347257,276.4745088881524,,,,,,,,,,,,,,,,,
07/04/2020,372753.861052765,180771.8939266279,86302.90137988195,40875.02700702319,20443.92241727887,10614.67486221759,5502.699962649267,2885.969044374753,1533.9575592501321,838.6904494892226,467.8610629747105,268.8722927564458,,,,,,,,,,,,,,,,
08/04/2020,777194.7716326794,369452.11930289515,172747.11958746897,80077.16977623184,39230.57144041815,19959.889996894348,10133.873077662478,5203.977038794253,2707.773279256297,1449.5666569182895,791.7329345410986,445.5962353395676,258.8527431397686,,,,,,,,,,,,,,,
09/04/2020,1620457.2941168523,755066.871804759,345777.1042298199,156877.0368829281,75280.94189209906,37532.681298246665,18662.726343656548,9383.807173221081,4779.8168128188845,2505.386217440488,1339.80168311408,738.4770030159058,420.26067584467836,245.66186213622785,,,,,,,,,,,,,,
10/04/2020,,1543166.0859674404,692120.4017472527,307333.5979523135,144459.28275015688,70576.64975382837,34369.61879322765,16920.87347960277,8437.430466992797,4330.232120463696,2267.265225130205,1223.8619645602935,682.314714996316,390.79951108563256,233.70246469925337,,,,,,,,,,,,,
11/04/2020,,,1385374.1171838606,602089.013835734,277208.0668517775,132712.70045679502,63295.719727107346,30511.705326788342,14893.924950097417,7484.239390544553,3836.755592914881,2028.2799629240722,1107.7728587496133,621.6848498041535,364.52314363365105,226.3787366336853,,,,,,,,,,,,
12/04/2020,,,,1179536.44833174,531944.440431718,249553.65441641153,116566.5572223907,55018.6822843982,26291.061157413827,12935.528095657963,6492.709064912439,3361.424512834922,1798.5259288874,988.9778300959135,568.5739019293446,346.61417145768445,222.9780557334371,,,,,,,,,,,
13/04/2020,,,,,1020767.147651278,469261.9939028383,214671.10763986968,99209.64324645238,46409.51925693388,22357.36704586914,10987.218231842004,5570.81614078464,2919.998889060536,1573.2684313110424,886.8470702097737,530.7096666490538,335.51133865662666,218.16765181073927,,,,,,,,,,
14/04/2020,,,,,,882402.7018823969,395342.2452668656,178894.74819136906,81923.03326076869,38641.78234760276,18593.00382432111,9232.393098797736,4740.767633741784,2502.7593962544743,1383.2814402328927,812.5829047619732,504.8382810447176,322.7163741266508,214.77641860883037,,,,,,,,,
15/04/2020,,,,,,,728069.5227736305,322582.86476196704,144612.21503910082,66787.26255806553,31463.814035234922,15300.645394971256,7696.878872568551,3981.3959721547844,2157.607108562897,1244.1661017417293,759.621689772515,477.36617809774623,312.5607410395586,218.54720366455257,,,,,,,,
16/04/2020,,,,,,,,581681.1599562538,255272.44178017773,115433.04084359098,53244.30646052389,25357.428675035666,12496.27675428457,6333.614773682623,3365.3805361093914,1904.9739782264385,1142.9900093525973,706.1261412853434,454.8647261742793,313.4289749030576,224.59088763851963,,,,,,,
17/04/2020,,,,,,,,,450612.1389178287,199510.90085199158,90102.1143618331,42024.31808666389,20288.344834970914,10075.530387322964,5249.23472298329,2916.7535208037475,1719.8378865025409,1044.5107975463475,661.9574756236452,449.503451252418,317.691771353418,227.11188749020215,,,,,,
18/04/2020,,,,,,,,,,344828.476040127,152474.3498817464,69645.9934199784,32939.16614015136,16028.179201502448,8187.622434171527,4465.914599548301,2587.8112071380933,1545.053698486481,963.3362938900196,644.654351916026,449.38627139724724,316.8381634600759,232.116821129239,,,,,
19/04/2020,,,,,,,,,,,258023.1056343464,115422.798519959,53478.42196265833,25497.667977728543,12770.844639702025,6837.874050105796,3893.836097196376,2285.4631439085983,1401.9281438757866,924.5295721008904,635.6728097173851,442.0130664850581,319.6459137188335,250.1325588518814,,,,
20/04/2020,,,,,,,,,,,,191287.70750446967,86824.95493199497,40561.75465280184,19919.637736435125,10469.640760671817,5858.989832800588,3380.686242349576,2040.2039589462318,1325.9119823647723,899.1817212341974,616.6414702379856,440.18141235985377,340.85224864029976,264.289341554458,,,
21/04/2020,,,,,,,,,,,,,140964.75778972718,64525.74180317879,31070.14287193366,16030.330019872887,8815.923681424905,5000.754223350002,2969.076705024531,1901.5536528307302,1271.9244168413602,860.2612267574638,606.1697255343305,464.47474065919613,356.25124454749846,285.22503374536296,,
22/04/2020,,,,,,,,,,,,,,102647.71312014462,48462.41637801657,24544.44105774155,13265.172423000804,7397.179451049158,4320.850590287307,2727.1088448457203,1799.182171915915,1200.1291090212326,834.7506865055386,632.9334354431495,480.21213604442755,380.7879671376027,304.93036017081494,
