data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,15.383805086032051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,14.393250803763774,15.167282906967767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,14.305580528791648,13.185531561886949,20.17131489441496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,14.302861147191777,13.009236748865275,19.116495224694905,21.03213330105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,14.302830641496824,13.00375917772745,19.03050627918817,18.43303933960257,24.845080052961233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,14.302830516380768,13.003697694408663,19.027918197034285,18.200138079129918,23.210365376867735,37.76713634339964,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,14.302830516192417,13.003697442186539,19.02788948395132,18.192881675114904,23.074639426621626,34.86824533590843,47.030512197768246,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,14.302830516192312,13.003697441806809,19.027889366666138,18.192800141421333,23.070526254163823,34.610900808730584,42.58697701822999,54.1743685340487,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,14.302830516192312,13.0036974418066,19.027889366489838,18.192799806819902,23.070480505096636,34.60290813428389,42.19533902711353,49.46658588581011,58.784591863541586,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,14.302830516192312,13.0036974418066,19.02788936648974,18.192799806316078,23.070480318048823,34.60281842893791,42.18320973325397,49.058901499501964,53.20889763572521,94.76314602186314,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,14.302830516192312,13.0036974418066,19.02788936648974,18.1927998063158,23.070480317767565,34.60281806095219,42.18307374507549,49.0463521683509,52.722723593055285,89.08497298717707,100.52858122104229,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,14.302830516192312,13.0036974418066,19.02788936648974,18.1927998063158,23.07048031776741,34.60281806039818,42.18307318744933,49.04621178036349,52.7077198743847,88.59414604643466,88.29690217134038,120.68847716310677,,,,,,,,,,,,,,,,,,,,,
07/04/2020,14.302830516192312,13.0036974418066,19.02788936648974,18.1927998063158,23.07048031776741,34.60281806039787,42.18307318660993,49.04621120515829,52.70755187087887,88.57904571825415,87.20580584485847,112.80721871960411,162.501268255927,,,,,,,,,,,,,,,,,,,,
08/04/2020,14.302830516192312,13.0036974418066,19.02788936648974,18.1927998063158,23.07048031776741,34.60281806039787,42.18307318660947,49.04621120429269,52.707551182286444,88.57887682417622,87.17186995306277,112.15099517560493,148.3077477745779,196.57328927740397,,,,,,,,,,,,,,,,,,,
09/04/2020,14.302830516192312,13.0036974418066,19.02788936648974,18.1927998063158,23.07048031776741,34.60281806039787,42.18307318660947,49.04621120429221,52.70755118125008,88.57887613222067,87.17148889205042,112.1310854306634,147.0472059806469,179.01988773368447,197.20344981876326,,,,,,,,,,,,,,,,,,
10/04/2020,,13.0036974418066,19.02788936648974,18.1927998063158,23.07048031776741,34.60281806039787,42.18307318660947,49.04621120429221,52.70755118124951,88.57887613117941,87.17148732860898,112.13086388595053,147.00805081563277,177.4875656477321,177.03102574421735,200.18118152726564,,,,,,,,,,,,,,,,,
11/04/2020,,,19.02788936648974,18.1927998063158,23.07048031776741,34.60281806039787,42.18307318660947,49.04621120429221,52.70755118124951,88.57887613117883,87.17148732625505,112.13086298000371,147.00761134109996,177.44026748209578,175.27544652018923,182.63491039985922,256.07722117934895,,,,,,,,,,,,,,,,
12/04/2020,,,,18.1927998063158,23.07048031776741,34.60281806039787,42.18307318660947,49.04621120429221,52.70755118124951,88.57887613117883,87.17148732625374,112.13086297864137,147.00760953827765,177.43973783856046,175.22130745541907,181.13362582612973,236.24328948856697,288.8941685314307,,,,,,,,,,,,,,,
13/04/2020,,,,,23.07048031776741,34.60281806039787,42.18307318660947,49.04621120429221,52.70755118124951,88.57887613117883,87.17148732625374,112.13086297864062,147.00760953556346,177.439735667693,175.2207014000968,181.08760532755838,234.5171647801359,259.98875985001604,318.07229816150726,,,,,,,,,,,,,,
14/04/2020,,,,,,34.60281806039787,42.18307318660947,49.04621120429221,52.70755118124951,88.57887613117883,87.17148732625374,112.13086297864062,147.00760953556195,177.4397356644257,175.22069891631972,181.08709127182868,234.46392555142285,257.4446621471909,290.8471343103949,380.4921347326041,,,,,,,,,,,,,
15/04/2020,,,,,,,42.18307318660947,49.04621120429221,52.70755118124951,88.57887613117883,87.17148732625374,112.13086297864062,147.00760953556195,177.4397356644239,175.22069891258167,181.08708916676272,234.46332952253516,257.365897786152,288.50646184217754,347.88709892713774,452.0424454868334,,,,,,,,,,,,
16/04/2020,,,,,,,,49.04621120429221,52.70755118124951,88.57887613117883,87.17148732625374,112.13086297864062,147.00760953556195,177.4397356644239,175.2206989125796,181.08708916359555,234.46332707977237,257.36501481456503,288.4345954782962,345.0416405158174,411.8726698261148,515.4600469216283,,,,,,,,,,,
17/04/2020,,,,,,,,,52.70755118124951,88.57887613117883,87.17148732625374,112.13086297864062,147.00760953556195,177.4397356644239,175.2206989125796,181.0870891635938,234.463327076096,257.3650111940372,288.4337922638506,344.9537962002133,408.3642206114261,468.9370301313854,657.0778429771163,,,,,,,,,,
18/04/2020,,,,,,,,,,88.57887613117883,87.17148732625374,112.13086297864062,147.00760953556195,177.4397356644239,175.2206989125796,181.0870891635938,234.46332707609395,257.3650111885873,288.4337889739966,344.9528124340418,408.25589113184327,464.8866100410669,605.1229477718916,752.0583725718311,,,,,,,,,
19/04/2020,,,,,,,,,,,87.17148732625374,112.13086297864062,147.00760953556195,177.4397356644239,175.2206989125796,181.0870891635938,234.46332707609395,257.3650111885843,288.4337889690465,344.95280840169687,408.25467790144836,464.76168578837445,600.6077949941534,678.9744284337604,806.1876668770808,,,,,,,,
20/04/2020,,,,,,,,,,,,112.13086297864062,147.00760953556195,177.4397356644239,175.2206989125796,181.0870891635938,234.46332707609395,257.3650111885843,288.43378896904375,344.95280839562787,408.2546729284894,464.7602872699989,600.4686219513989,672.5512357240336,733.5845777698596,1065.0343548882836,,,,,,,
21/04/2020,,,,,,,,,,,,,147.00760953556195,177.4397356644239,175.2206989125796,181.0870891635938,234.46332707609395,257.3650111885843,288.43378896904375,344.9528083956245,408.2546729210047,464.7602815384008,600.4670642557687,672.352472389593,727.3207261894472,985.3436586660855,1204.4426070390277,,,,,,
22/04/2020,,,,,,,,,,,,,,177.4397356644239,175.2206989125796,181.0870891635938,234.46332707609395,257.3650111885843,288.43378896904375,344.9528083956245,408.2546729210006,464.7602815297748,600.4670578723105,672.3502445790623,727.128163264551,978.421857458602,1081.8120957413862,1409.5640252060196,,,,,
23/04/2020,,,,,,,,,,,,,,,175.2206989125796,181.0870891635938,234.46332707609395,257.3650111885843,288.43378896904375,344.9528083956245,408.2546729210006,464.76028152977,600.4670578627038,672.3502354447437,727.1260100963271,978.2085267631657,1070.994584989377,1297.3139520109544,1487.1670086151196,,,,
24/04/2020,,,,,,,,,,,,,,,,181.0870891635938,234.46332707609395,257.3650111885843,288.43378896904375,344.9528083956245,408.2546729210006,464.76028152977,600.4670578626984,672.3502354309943,727.1260012757654,978.2061391289001,1070.6594160760985,1287.6829474176511,1334.7973623379382,1705.72985121411,,,
25/04/2020,,,,,,,,,,,,,,,,,234.46332707609395,257.3650111885843,288.43378896904375,344.9528083956245,408.2546729210006,464.76028152977,600.4670578626984,672.3502354309867,727.1260012624925,978.2061293444357,1070.6556576699068,1287.387466306772,1321.4205301665636,1570.334891970507,1854.6593039082952,,
26/04/2020,,,,,,,,,,,,,,,,,,257.3650111885843,288.43378896904375,344.9528083956245,408.2546729210006,464.76028152977,600.4670578626984,672.3502354309867,727.1260012624851,978.2061293297105,1070.6556422573801,1287.3841647776933,1321.0067085676724,1558.7386607791873,1670.6205163837358,2202.3910488153424,
27/04/2020,,,,,,,,,,,,,,,,,,,288.43378896904375,344.9528083956245,408.2546729210006,464.76028152977,600.4670578626984,672.3502354309867,727.1260012624851,978.2061293297023,1070.655642234179,1287.3841512564725,1321.0020707344775,1558.3830956185836,1654.4613707031474,2027.8294328068223,2188.0581838588705
